cycle,energy_eh,residual_norm_eh,kind
53,-116.60560895822978,0.0003929442489538426,davidson_callback
54,-116.60560900336661,0.0002986736614784991,davidson_callback
55,-116.60560902397305,0.000263894777081823,davidson_callback
56,-116.60560904627991,0.0002219894912488495,davidson_callback
57,-116.60560905995695,0.0002095693482635551,davidson_callback
58,-116.60560907569054,0.00021741913214697682,davidson_callback
59,-116.60560908880379,0.00017436358892589375,davidson_callback
60,-116.60560909515252,0.00012608231460908294,davidson_callback
61,-116.60560909959737,0.00010560451358532482,davidson_callback
62,-116.6056091026574,9.90268160667806e-05,davidson_callback
63,-116.60560910553515,8.940739384695371e-05,davidson_callback
64,-116.60560910553495,8.940739384697315e-05,davidson_callback
65,-116.60560910681352,6.251373275627081e-05,davidson_callback
66,-116.60560910816774,6.656392513914115e-05,davidson_callback
67,-116.60560910959269,6.944897020077474e-05,davidson_callback
68,-116.6056091112664,7.239830976515776e-05,davidson_callback
69,-116.6056091127192,6.630015696366735e-05,davidson_callback
70,-116.60560911410822,5.968354146792379e-05,davidson_callback
71,-116.60560911506235,5.2559290308476656e-05,davidson_callback
72,-116.6056091159024,4.8254570787510304e-05,davidson_callback
73,-116.60560911659641,4.894528293073862e-05,davidson_callback
74,-116.60560911742441,5.007889002891817e-05,davidson_callback
75,-116.60560911816438,4.2579188261932384e-05,davidson_callback
76,-116.6056091186331,3.729820710020159e-05,davidson_callback
77,-116.60560911902648,3.2034825015543667e-05,davidson_callback
78,-116.60560911929883,2.6606451823469503e-05,davidson_callback
79,-116.60560911949757,2.2352766726905865e-05,davidson_callback
80,-116.60560911961987,1.7037615720222644e-05,davidson_callback
81,-116.60560911971379,1.7477022404758887e-05,davidson_callback
82,-116.6056091198027,1.738100827711188e-05,davidson_callback
83,-116.60560911988837,1.7209725529190174e-05,davidson_callback
84,-116.60560911995834,1.710297308835588e-05,davidson_callback
85,-116.60560912002781,1.4895538527367311e-05,davidson_callback
86,-116.60560912008044,1.2351306864839289e-05,davidson_callback
87,-116.60560912011802,1.0383021269046286e-05,davidson_callback
88,-116.60560912015262,1.0872742380601334e-05,davidson_callback
89,-116.60560912018438,8.991489432053075e-06,davidson_callback
90,-116.60560912020814,9.295427223308014e-06,davidson_callback
91,-116.60560912023132,1.0014649752703751e-05,davidson_callback
92,-116.60560912025275,8.556420338810197e-06,davidson_callback
93,-116.60560912027339,7.680167149668416e-06,davidson_callback
94,-116.60560912028646,6.020253887978456e-06,davidson_callback
95,-116.60560912029676,5.335502392975362e-06,davidson_callback
96,-116.60560912030543,5.209664460126747e-06,davidson_callback
97,-116.60560912031328,4.61154605077627e-06,davidson_callback
98,-116.60560912032003,4.876748791001079e-06,davidson_callback
99,-116.60560912032753,5.241676335904955e-06,davidson_callback
100,-116.60560912033701,5.0673704652467185e-06,davidson_callback
101,-116.60560912034303,4.357425983641462e-06,davidson_callback
102,-116.60560912034897,4.164967844454327e-06,davidson_callback
103,-116.60560912035386,3.5667604098977543e-06,davidson_callback
104,-116.60560912035795,3.950848938841566e-06,davidson_callback
105,-116.60560912036293,4.094188515481216e-06,davidson_callback
106,-116.60560912036921,4.641618052003775e-06,davidson_callback
107,-116.60560912037575,4.411472881977612e-06,davidson_callback
108,-116.60560912038177,3.872466917812569e-06,davidson_callback
109,-116.60560912038625,3.720284281825975e-06,davidson_callback
110,-116.60560912039051,3.300043920039762e-06,davidson_callback
111,-116.60560912039341,2.749894804201085e-06,davidson_callback
112,-116.60560912039529,2.5335396016598513e-06,davidson_callback
113,-116.60560912039769,2.7451271321556325e-06,davidson_callback
114,-116.60560912039995,2.6165303750305042e-06,davidson_callback
115,-116.60560912040202,2.6006911308360695e-06,davidson_callback
116,-116.60560912040386,2.0218761202692322e-06,davidson_callback
117,-116.60560912040505,1.9971428780233046e-06,davidson_callback
118,-116.60560912040609,1.6861588659619563e-06,davidson_callback
119,-116.60560912040697,1.6069009985375352e-06,davidson_callback
120,-116.60560912040785,1.7383478377960773e-06,davidson_callback
121,-116.60560912040877,1.588272798938952e-06,davidson_callback
122,-116.60560912040943,1.3910295312439198e-06,davidson_callback
123,-116.60560912041001,1.419650086920671e-06,davidson_callback
124,-116.60560912041066,1.3254521446189874e-06,davidson_callback
125,-116.60560912041109,1.0807410946450493e-06,davidson_callback
126,-116.60560912041143,1.1015413394347567e-06,davidson_callback
127,-116.60560912041183,1.1159719645862867e-06,davidson_callback
128,-116.60560912041194,1.1159719645495994e-06,davidson_callback
129,-116.60560912041214,8.38734640830706e-07,davidson_callback
130,-116.60560912041237,8.3032852767961e-07,davidson_callback
131,-116.60560912041261,9.968682987556401e-07,davidson_callback
132,-116.60560912041295,1.0413346063819384e-06,davidson_callback
133,-116.60560912041326,9.858037069646183e-07,davidson_callback
134,-116.60560912041356,1.0772253752929178e-06,davidson_callback
135,-116.60560912041399,1.2063111063224973e-06,davidson_callback
136,-116.60560912041447,1.2263124270627337e-06,davidson_callback
137,-116.60560912041494,1.2436395742819987e-06,davidson_callback
138,-116.60560912041551,1.4416905963076547e-06,davidson_callback
139,-116.60560912041616,1.445904282728815e-06,davidson_callback
140,-116.60560912041683,1.610356095700172e-06,davidson_callback
141,-116.60560912041768,1.5861893588712529e-06,davidson_callback
142,-116.60560912041845,1.6029590027366488e-06,davidson_callback
143,-116.60560912041919,1.4535387278402238e-06,davidson_callback
144,-116.60560912041981,1.430698626119019e-06,davidson_callback
145,-116.60560912042044,1.4655517012168947e-06,davidson_callback
146,-116.60560912042115,1.4760715255507278e-06,davidson_callback
147,-116.6056091204218,1.425470072392679e-06,davidson_callback
148,-116.60560912042246,1.4253937840097862e-06,davidson_callback
149,-116.6056091204231,1.3630672514815183e-06,davidson_callback
150,-116.60560912042365,1.2185301058696558e-06,davidson_callback
151,-116.60560912042403,1.0904807169624258e-06,davidson_callback
152,-116.60560912042438,9.98209358898364e-07,davidson_callback
153,-116.60560912042466,1.0268662694163493e-06,davidson_callback
154,-116.60560912042496,1.0307520367268894e-06,davidson_callback
155,-116.60560912042521,1.0299775123330403e-06,davidson_callback
156,-116.60560912042548,9.79241322336631e-07,davidson_callback
157,-116.60560912042574,8.879129306542884e-07,davidson_callback
158,-116.60560912042594,7.157992683273729e-07,davidson_callback
159,-116.60560912042608,6.901557704725849e-07,davidson_callback
160,-116.60560912042631,6.901557706123275e-07,final_independent_contraction
