source_orbital,natural_orbital,coefficient
17,18,0.099199104598654955
17,19,0.0007058708786778457
17,20,-0.013246657608596188
18,1,0.0027113850326465063
18,2,0.00060350697299996724
18,3,-0.042147463265966328
18,4,0.00027284604300715468
18,5,-6.7016101962612322e-06
18,6,0.0010692970201145013
18,7,-0.069623125193378405
18,8,-0.10762538710216481
18,9,-0.019755747671799575
18,10,-0.0029809703059520869
18,11,-0.0024592088664613407
18,12,-0.0052686285822646913
18,13,-0.072278604503191748
18,14,0.063156094188162495
18,15,0.032529695957825372
18,16,0.1633799723899258
18,17,0.96672278685919089
18,18,0.01733875735789089
18,19,0.097545759568656257
18,20,0.004269948496830967
19,1,-0.0006193968933165616
19,2,0.0003073646000733639
19,3,0.0022007436857195153
19,4,-0.0011813921929019889
19,5,0.0057835076556810687
19,6,0.013377578381346933
19,7,0.0049906893394465702
19,8,0.0068805311022386842
19,9,0.00024000418984775946
19,10,0.012673453202993099
19,11,-0.099279241832772924
19,12,-0.056698699178518476
19,13,-0.0056331612813835209
19,14,0.98553916893596194
19,15,-0.018385755754518882
19,16,-0.090332581890260111
19,17,-0.048822697757076906
19,18,0.064818086112440207
19,19,-0.0059262815480149323
19,20,0.0062835500331615895
20,1,-0.018724912181887047
20,2,-1.3241548252729696e-05
20,3,-0.0010715394666317561
20,4,0.00041798693790946208
20,5,-0.0010470881685733916
20,6,0.00074885160313123303
20,7,0.04666659111395749
20,8,0.0081880950811797255
20,9,-0.21375969053101684
20,10,-0.0096560395889952744
20,11,0.0134553542204024
20,12,-0.0033374615789460845
20,13,0.070198111573735261
20,14,0.0009168880570249924
20,15,0.29639134636382758
20,16,0.0065748833143859133
20,17,0.0095924517733980679
20,18,0.00271539039744616
20,19,-0.19467184399961571
20,20,0.90587348013452695
